Globe Sea Ice Extent (1979-2022)
Units: million square km
1981-2010 Mean,1:19.42,2:18.37,3:19.46,4:21.54,5:23.45,6:25.12,7:25.43,8:24.92,9:24.90,10:26.44,11:26.60,12:23.25
Date,Value,Anomaly
197901,20.81,1.39
197902,19.32,0.95
197903,20.34,0.88
197904,22.94,1.40
197905,24.69,1.24
197906,26.72,1.60
197907,26.83,1.40
197908,25.74,0.82
197909,25.25,0.35
197910,26.57,0.13
197911,26.28,-0.32
197912,22.58,-0.67
198001,19.42,0.00
198002,18.78,0.41
198003,19.33,-0.13
198004,20.83,-0.71
198005,22.65,-0.80
198006,24.69,-0.43
198007,25.66,0.23
198008,25.79,0.87
198009,26.49,1.59
198010,27.75,1.31
198011,27.51,0.91
198012,23.75,0.50
198101,19.32,-0.10
198102,18.47,0.10
198103,19.02,-0.44
198104,20.85,-0.69
198105,23.15,-0.30
198106,25.54,0.42
198107,26.31,0.88
198108,25.58,0.66
198109,25.74,0.84
198110,27.15,0.71
198111,27.04,0.44
198112,24.23,0.98
198201,20.44,1.02
198202,19.10,0.73
198203,20.33,0.87
198204,23.19,1.65
198205,24.73,1.28
198206,25.90,0.78
198207,26.24,0.81
198208,25.93,1.01
198209,25.65,0.75
198210,27.21,0.77
198211,27.17,0.57
198212,22.86,-0.39
198301,19.71,0.29
198302,19.08,0.71
198303,20.11,0.65
198304,21.64,0.10
198305,23.02,-0.43
198306,24.94,-0.18
198307,26.04,0.61
198308,25.44,0.52
198309,25.98,1.08
198310,27.25,0.81
198311,27.47,0.87
198312,23.69,0.44
198401,19.25,-0.17
198402,17.98,-0.39
198403,19.19,-0.27
198404,21.43,-0.11
198405,23.33,-0.12
198406,25.38,0.26
198407,26.38,0.95
198408,25.70,0.78
198409,24.98,0.08
198410,26.13,-0.31
198411,26.97,0.37
198412,23.46,0.21
198501,19.18,-0.24
198502,18.31,-0.06
198503,19.61,0.15
198504,21.85,0.31
198505,24.22,0.77
198506,25.65,0.53
198507,25.46,0.03
198508,25.03,0.11
198509,25.40,0.50
198510,26.75,0.31
198511,27.16,0.56
198512,24.40,1.15
198601,20.31,0.89
198602,18.97,0.60
198603,19.61,0.15
198604,21.45,-0.09
198605,22.68,-0.77
198606,24.67,-0.45
198607,25.47,0.04
198608,24.98,0.06
198609,25.09,0.19
198610,26.66,0.22
198611,26.46,-0.14
198612,22.87,-0.38
198701,20.10,0.68
198702,19.30,0.93
198703,19.93,0.47
198704,22.01,0.47
198705,23.43,-0.02
198706,25.17,0.05
198707,26.08,0.65
198708,25.23,0.31
198709,25.53,0.63
198710,26.72,0.28
198711,26.80,0.20
198712,-9999,-9999
198801,-9999,-9999
198802,18.47,0.10
198803,19.93,0.47
198804,21.41,-0.13
198805,23.16,-0.29
198806,25.03,-0.09
198807,25.56,0.13
198808,25.45,0.53
198809,25.68,0.78
198810,27.49,1.05
198811,27.48,0.88
198812,24.69,1.44
198901,19.69,0.27
198902,18.48,0.11
198903,19.35,-0.11
198904,20.64,-0.90
198905,23.34,-0.11
198906,25.82,0.70
198907,25.84,0.41
198908,25.35,0.43
198909,25.13,0.23
198910,26.69,0.25
198911,26.85,0.25
198912,23.23,-0.02
199001,19.65,0.23
199002,18.62,0.25
199003,19.84,0.38
199004,21.65,0.11
199005,22.95,-0.50
199006,24.72,-0.40
199007,24.82,-0.61
199008,24.37,-0.55
199009,24.33,-0.57
199010,26.43,-0.01
199011,26.55,-0.05
199012,23.06,-0.19
199101,19.70,0.28
199102,18.41,0.04
199103,19.23,-0.23
199104,21.91,0.37
199105,23.75,0.30
199106,25.18,0.06
199107,25.06,-0.37
199108,25.14,0.22
199109,24.78,-0.12
199110,26.46,0.02
199111,26.46,-0.14
199112,23.14,-0.11
199201,19.39,-0.03
199202,18.30,-0.07
199203,19.05,-0.41
199204,21.47,-0.07
199205,23.14,-0.31
199206,24.96,-0.16
199207,26.21,0.78
199208,25.66,0.74
199209,25.62,0.72
199210,27.25,0.81
199211,27.28,0.68
199212,23.62,0.37
199301,19.31,-0.11
199302,18.17,-0.20
199303,19.48,0.02
199304,21.73,0.19
199305,23.47,0.02
199306,25.02,-0.10
199307,25.33,-0.10
199308,24.82,-0.10
199309,24.94,0.04
199310,26.92,0.48
199311,27.36,0.76
199312,23.25,0.00
199401,19.70,0.28
199402,18.76,0.39
199403,20.10,0.64
199404,22.11,0.57
199405,24.03,0.58
199406,25.58,0.46
199407,26.23,0.80
199408,25.48,0.56
199409,25.75,0.85
199410,27.01,0.57
199411,27.00,0.40
199412,23.37,0.12
199501,20.23,0.81
199502,18.79,0.42
199503,19.89,0.43
199504,21.72,0.18
199505,23.39,-0.06
199506,24.73,-0.39
199507,24.73,-0.70
199508,24.52,-0.40
199509,24.45,-0.45
199510,25.86,-0.58
199511,26.39,-0.21
199512,23.54,0.29
199601,20.05,0.63
199602,18.13,-0.24
199603,19.30,-0.16
199604,21.50,-0.04
199605,24.01,0.56
199606,25.95,0.83
199607,26.28,0.85
199608,25.92,1.00
199609,26.21,1.31
199610,27.12,0.68
199611,26.12,-0.48
199612,22.51,-0.74
199701,18.62,-0.80
199702,17.93,-0.44
199703,18.93,-0.53
199704,21.05,-0.49
199705,23.30,-0.15
199706,24.86,-0.26
199707,25.33,-0.10
199708,24.97,0.05
199709,25.29,0.39
199710,26.33,-0.11
199711,26.41,-0.19
199712,23.37,0.12
199801,19.18,-0.24
199802,18.74,0.37
199803,19.71,0.25
199804,21.74,0.20
199805,23.92,0.47
199806,25.02,-0.10
199807,25.38,-0.05
199808,25.39,0.47
199809,25.44,0.54
199810,27.11,0.67
199811,26.74,0.14
199812,23.28,0.03
199901,19.18,-0.24
199902,18.28,-0.09
199903,19.38,-0.08
199904,21.97,0.43
199905,24.02,0.57
199906,25.43,0.31
199907,25.77,0.34
199908,25.19,0.27
199909,24.82,-0.08
199910,26.95,0.51
199911,26.76,0.16
199912,23.36,0.11
200001,18.97,-0.45
200002,18.05,-0.32
200003,19.31,-0.15
200004,21.69,0.15
200005,24.07,0.62
200006,25.56,0.44
200007,25.61,0.18
200008,25.38,0.46
200009,25.14,0.24
200010,26.51,0.07
200011,26.08,-0.52
200012,22.55,-0.70
200101,19.43,0.01
200102,18.86,0.49
200103,20.25,0.79
200104,21.90,0.36
200105,23.84,0.39
200106,24.88,-0.24
200107,24.92,-0.51
200108,24.88,-0.04
200109,24.90,0.00
200110,26.03,-0.41
200111,26.27,-0.33
200112,22.84,-0.41
200201,19.01,-0.41
200202,18.30,-0.07
200203,19.10,-0.36
200204,20.63,-0.91
200205,22.48,-0.97
200206,23.96,-1.16
200207,24.68,-0.75
200208,23.67,-1.25
200209,23.72,-1.18
200210,26.03,-0.41
200211,25.75,-0.85
200212,23.40,0.15
200301,20.16,0.74
200302,18.98,0.61
200303,19.92,0.46
200304,21.72,0.18
200305,23.76,0.31
200306,25.59,0.47
200307,25.61,0.18
200308,24.52,-0.40
200309,24.42,-0.48
200310,26.05,-0.39
200311,26.24,-0.36
200312,23.15,-0.10
200401,19.62,0.20
200402,18.49,0.12
200403,19.52,0.06
200404,21.27,-0.27
200405,23.03,-0.42
200406,25.23,0.11
200407,25.76,0.33
200408,24.86,-0.06
200409,24.90,0.00
200410,26.39,-0.05
200411,26.42,-0.18
200412,22.78,-0.47
200501,18.41,-1.01
200502,17.34,-1.03
200503,18.77,-0.69
200504,21.12,-0.42
200505,23.20,-0.25
200506,24.45,-0.67
200507,24.81,-0.62
200508,24.22,-0.70
200509,24.30,-0.60
200510,25.83,-0.61
200511,26.54,-0.06
200512,21.91,-1.34
200601,17.63,-1.79
200602,16.97,-1.40
200603,17.63,-1.83
200604,19.92,-1.62
200605,21.98,-1.47
200606,24.26,-0.86
200607,24.57,-0.86
200608,24.60,-0.32
200609,24.95,0.05
200610,26.27,-0.17
200611,25.89,-0.71
200612,21.80,-1.45
200701,18.37,-1.05
200702,17.41,-0.96
200703,18.37,-1.09
200704,20.27,-1.27
200705,22.43,-1.02
200706,24.51,-0.61
200707,23.90,-1.53
200708,23.02,-1.90
200709,23.13,-1.77
200710,24.55,-1.89
200711,25.65,-0.95
200712,24.01,0.76
200801,20.30,0.88
200802,18.84,0.47
200803,20.46,1.00
200804,22.59,1.05
200805,24.02,0.57
200806,25.27,0.15
200807,24.77,-0.66
200808,23.55,-1.37
200809,22.84,-2.06
200810,25.34,-1.10
200811,26.59,-0.01
200812,23.87,0.62
200901,19.62,0.20
200902,17.80,-0.57
200903,19.42,-0.04
200904,22.30,0.76
200905,24.12,0.67
200906,25.23,0.11
200907,24.73,-0.70
200908,24.24,-0.68
200909,24.22,-0.68
200910,25.22,-1.22
200911,25.62,-0.98
200912,22.94,-0.31
201001,18.70,-0.72
201002,17.69,-0.68
201003,18.99,-0.47
201004,21.38,-0.16
201005,23.51,0.06
201006,25.00,-0.12
201007,24.99,-0.44
201008,24.48,-0.44
201009,23.67,-1.23
201010,25.63,-0.81
201011,26.36,-0.24
201012,23.10,-0.15
201101,17.97,-1.45
201102,16.88,-1.49
201103,17.92,-1.54
201104,20.21,-1.33
201105,22.77,-0.68
201106,24.08,-1.04
201107,23.47,-1.96
201108,23.31,-1.61
201109,23.30,-1.60
201110,24.68,-1.76
201111,25.53,-1.07
201112,23.35,0.10
201201,19.38,-0.04
201202,18.10,-0.27
201203,19.75,0.29
201204,21.94,0.40
201205,23.47,0.02
201206,24.22,-0.90
201207,23.97,-1.46
201208,22.82,-2.10
201209,22.78,-2.12
201210,24.48,-1.96
201211,25.50,-1.10
201212,22.40,-0.85
201301,19.24,-0.18
201302,18.56,0.19
201303,20.05,0.59
201304,21.92,0.38
201305,23.92,0.47
201306,25.51,0.39
201307,24.94,-0.49
201308,24.67,-0.25
201309,24.60,-0.30
201310,26.47,0.03
201311,26.81,0.21
201312,24.03,0.78
201401,19.98,0.56
201402,18.26,-0.11
201403,19.66,0.20
201404,22.43,0.89
201405,24.22,0.77
201406,25.72,0.60
201407,25.22,-0.21
201408,24.99,0.07
201409,24.98,0.08
201410,26.23,-0.21
201411,26.50,-0.10
201412,24.28,1.03
201501,20.45,1.03
201502,18.20,-0.17
201503,19.33,-0.13
201504,22.26,0.72
201505,24.19,0.74
201506,25.35,0.23
201507,25.16,-0.27
201508,23.35,-1.57
201509,23.06,-1.84
201510,25.38,-1.06
201511,26.03,-0.57
201512,22.70,-0.55
201601,18.15,-1.27
201602,16.99,-1.38
201603,18.47,-0.99
201604,20.90,-0.64
201605,22.02,-1.43
201606,23.65,-1.47
201607,23.96,-1.47
201608,23.26,-1.66
201609,22.68,-2.22
201610,23.54,-2.90
201611,22.88,-3.72
201612,19.74,-3.51
201701,16.97,-2.45
201702,16.41,-1.96
201703,16.99,-2.47
201704,19.19,-2.35
201705,21.64,-1.81
201706,23.17,-1.95
201707,23.24,-2.19
201708,22.70,-2.22
201709,22.73,-2.17
201710,24.55,-1.89
201711,24.60,-2.00
201712,21.22,-2.03
201801,17.29,-2.13
201802,16.30,-2.07
201803,17.84,-1.62
201804,19.73,-1.81
201805,21.55,-1.90
201806,23.67,-1.45
201807,23.97,-1.46
201808,23.03,-1.89
201809,22.75,-2.15
201810,23.86,-2.58
201811,24.92,-1.68
201812,21.05,-2.20
201901,17.44,-1.98
201902,17.04,-1.33
201903,17.74,-1.72
201904,19.15,-2.39
201905,21.04,-2.41
201906,22.84,-2.28
201907,22.89,-2.54
201908,22.51,-2.41
201909,22.69,-2.21
201910,23.67,-2.77
201911,24.34,-2.26
201912,21.31,-1.94
202001,18.24,-1.18
202002,17.56,-0.81
202003,18.73,-0.73
202004,20.28,-1.26
202005,22.21,-1.24
202006,23.86,-1.26
202007,23.01,-2.42
202008,22.83,-2.09
202009,22.84,-2.06
202010,23.82,-2.62
202011,25.22,-1.38
202012,22.30,-0.95
202101,18.15,-1.27
202102,17.22,-1.15
202103,19.09,-0.37
202104,20.92,-0.62
202105,23.08,-0.37
202106,24.31,-0.81
202107,24.10,-1.33
202108,23.88,-1.04
202109,23.37,-1.53
202110,24.40,-2.04
202111,24.72,-1.88
202112,21.39,-1.86
202201,17.74,-1.68
202202,16.77,-1.60
202203,17.41,-2.05
202204,19.90,-1.64
202205,22.20,-1.25
202206,22.99,-2.13
202207,23.15,-2.28
